Date,BAGSX
2023-06-16,10.079999923706055
2023-06-20,10.109999656677246
2023-06-21,10.109999656677246
2023-06-22,10.069999694824219
2023-06-23,10.100000381469727
2023-06-26,10.09000015258789
2023-06-27,10.069999694824219
2023-06-28,10.100000381469727
2023-06-29,10.020000457763672
2023-06-30,10.050000190734863
2023-07-03,10.029999732971191
2023-07-05,9.989999771118164
2023-07-06,9.920000076293945
2023-07-07,9.920000076293945
2023-07-10,9.949999809265137
2023-07-11,9.970000267028809
2023-07-12,10.0600004196167
2023-07-13,10.119999885559082
2023-07-14,10.079999923706055
2023-07-17,10.09000015258789
2023-07-18,10.100000381469727
2023-07-19,10.130000114440918
2023-07-20,10.069999694824219
2023-07-21,10.079999923706055
2023-07-24,10.069999694824219
2023-07-25,10.029999732971191
2023-07-26,10.0600004196167
2023-07-27,9.979999542236328
2023-07-28,10.020000457763672
2023-07-31,10.029999732971191
2023-08-01,9.970000267028809
2023-08-02,9.9399995803833
2023-08-03,9.880000114440918
2023-08-04,9.960000038146973
2023-08-07,9.949999809265137
2023-08-08,9.979999542236328
2023-08-09,9.989999771118164
2023-08-10,9.930000305175781
2023-08-11,9.899999618530273
2023-08-14,9.890000343322754
2023-08-15,9.869999885559082
2023-08-16,9.84000015258789
2023-08-17,9.829999923706055
2023-08-18,9.850000381469727
2023-08-21,9.800000190734863
2023-08-22,9.8100004196167
2023-08-23,9.899999618530273
2023-08-24,9.850000381469727
2023-08-25,9.850000381469727
2023-08-28,9.869999885559082
2023-08-29,9.930000305175781
2023-08-30,9.930000305175781
2023-08-31,9.9399995803833
2023-09-01,9.890000343322754
2023-09-05,9.84000015258789
2023-09-06,9.829999923706055
2023-09-07,9.850000381469727
2023-09-08,9.869999885559082
2023-09-11,9.850000381469727
2023-09-12,9.859999656677246
2023-09-13,9.869999885559082
2023-09-14,9.859999656677246
2023-09-15,9.829999923706055
2023-09-18,9.850000381469727
2023-09-19,9.819999694824219
2023-09-20,9.819999694824219
2023-09-21,9.75
2023-09-22,9.779999732971191
2023-09-25,9.6899995803833
2023-09-26,9.680000305175781
2023-09-27,9.640000343322754
2023-09-28,9.65999984741211
2023-09-29,9.65999984741211
2023-10-02,9.59000015258789
2023-10-03,9.510000228881836
2023-10-04,9.569999694824219
2023-10-05,9.579999923706055
2023-10-06,9.539999961853027
2023-10-09,9.630000114440918
2023-10-10,9.630000114440918
2023-10-11,9.670000076293945
2023-10-12,9.59000015258789
2023-10-13,9.640000343322754
2023-10-16,9.59000015258789
2023-10-17,9.520000457763672
2023-10-18,9.479999542236328
2023-10-19,9.430000305175781
2023-10-20,9.460000038146973
2023-10-23,9.5
2023-10-24,9.5
2023-10-25,9.4399995803833
2023-10-26,9.5
2023-10-27,9.510000228881836
2023-10-30,9.489999771118164
2023-10-31,9.470000267028809
2023-11-01,9.5600004196167
2023-11-02,9.619999885559082
2023-11-03,9.6899995803833
2023-11-06,9.649999618530273
2023-11-07,9.699999809265137
2023-11-08,9.739999771118164
2023-11-09,9.65999984741211
2023-11-10,9.670000076293945
2023-11-13,9.680000305175781
2023-11-14,9.789999961853027
2023-11-15,9.739999771118164
2023-11-16,9.789999961853027
2023-11-17,9.8100004196167
2023-11-20,9.829999923706055
2023-11-21,9.84000015258789
2023-11-22,9.84000015258789
2023-11-24,9.800000190734863
2023-11-27,9.84000015258789
2023-11-28,9.869999885559082
2023-11-29,9.930000305175781
2023-11-30,9.890000343322754
2023-12-01,9.970000267028809
2023-12-04,9.949999809265137
2023-12-05,10.010000228881836
2023-12-06,10.039999961853027
2023-12-07,10.039999961853027
2023-12-08,9.989999771118164
2023-12-11,10.0
2023-12-12,10.020000457763672
2023-12-13,10.149999618530273
2023-12-14,10.229999542236328
2023-12-15,10.220000267028809
2023-12-18,10.199999809265137
2023-12-19,10.220000267028809
2023-12-20,10.260000228881836
2023-12-21,10.25
2023-12-22,10.239999771118164
2023-12-26,10.25
2023-12-27,10.319999694824219
2023-12-28,10.25
2023-12-29,10.25
2024-01-02,10.1899995803833
2024-01-03,10.199999809265137
2024-01-04,10.149999618530273
2024-01-05,10.119999885559082
2024-01-08,10.15999984741211
2024-01-09,10.15999984741211
2024-01-10,10.149999618530273
2024-01-11,10.199999809265137
2024-01-12,10.220000267028809
2024-01-16,10.15999984741211
2024-01-17,10.119999885559082
2024-01-18,10.109999656677246
2024-01-19,10.109999656677246
2024-01-22,10.140000343322754
2024-01-23,10.109999656677246
2024-01-24,10.09000015258789
2024-01-25,10.140000343322754
2024-01-26,10.100000381469727
2024-01-29,10.149999618530273
2024-01-30,10.15999984741211
2024-01-31,10.210000038146973
2024-02-01,10.270000457763672
2024-02-02,10.170000076293945
2024-02-05,10.09000015258789
2024-02-06,10.140000343322754
2024-02-07,10.130000114440918
2024-02-08,10.100000381469727
2024-02-09,10.09000015258789
2024-02-12,10.100000381469727
2024-02-13,10.010000228881836
2024-02-14,10.039999961853027
2024-02-15,10.069999694824219
2024-02-16,10.039999961853027
2024-02-20,10.050000190734863
2024-02-21,10.020000457763672
2024-02-22,10.029999732971191
2024-02-23,10.069999694824219
2024-02-26,10.029999732971191
2024-02-27,10.010000228881836
2024-02-28,10.029999732971191
2024-02-29,10.050000190734863
2024-03-01,10.09000015258789
2024-03-04,10.069999694824219
2024-03-05,10.119999885559082
2024-03-06,10.140000343322754
2024-03-07,10.15999984741211
2024-03-08,10.170000076293945
2024-03-11,10.170000076293945
2024-03-12,10.130000114440918
2024-03-13,10.119999885559082
2024-03-14,10.0600004196167
2024-03-15,10.050000190734863
2024-03-18,10.039999961853027
2024-03-19,10.069999694824219
2024-03-20,10.079999923706055
2024-03-21,10.09000015258789
2024-03-22,10.119999885559082
2024-03-25,10.109999656677246
2024-03-26,10.09000015258789
2024-03-27,10.119999885559082
2024-03-28,10.119999885559082
2024-04-01,10.039999961853027
2024-04-02,10.029999732971191
2024-04-03,10.029999732971191
2024-04-04,10.0600004196167
2024-04-05,10.010000228881836
2024-04-08,10.0
2024-04-09,10.039999961853027
2024-04-10,9.920000076293945
2024-04-11,9.90999984741211
2024-04-12,9.9399995803833
2024-04-15,9.880000114440918
2024-04-16,9.850000381469727
2024-04-17,9.890000343322754
2024-04-18,9.869999885559082
2024-04-19,9.880000114440918
2024-04-22,9.880000114440918
2024-04-23,9.899999618530273
2024-04-24,9.880000114440918
2024-04-25,9.819999694824219
2024-04-26,9.84000015258789
2024-04-29,9.869999885559082
2024-04-30,9.84000015258789
2024-05-01,9.869999885559082
2024-05-02,9.90999984741211
2024-05-03,9.960000038146973
2024-05-06,9.970000267028809
2024-05-07,10.0
2024-05-08,9.970000267028809
2024-05-09,10.0
2024-05-10,9.970000267028809
2024-05-13,9.979999542236328
2024-05-14,10.010000228881836
2024-05-15,10.079999923706055
2024-05-16,10.0600004196167
2024-05-17,10.029999732971191
2024-05-20,10.020000457763672
2024-05-21,10.039999961853027
2024-05-22,10.029999732971191
2024-05-23,10.0
2024-05-24,10.010000228881836
2024-05-28,9.9399995803833
2024-05-29,9.899999618530273
2024-05-30,9.949999809265137
2024-05-31,9.979999542236328
2024-06-03,10.039999961853027
2024-06-04,10.079999923706055
2024-06-05,10.109999656677246
2024-06-06,10.109999656677246
2024-06-07,10.029999732971191
2024-06-10,10.010000228881836
2024-06-11,10.050000190734863
2024-06-12,10.100000381469727
2024-06-13,10.149999618530273
2024-06-14,10.15999984741211
2024-06-17,10.119999885559082
2024-06-18,10.15999984741211
2024-06-20,10.140000343322754
2024-06-21,10.140000343322754
2024-06-24,10.149999618530273
2024-06-25,10.119999885559082
2024-06-26,10.069999694824219
2024-06-27,10.09000015258789
2024-06-28,10.050000190734863
2024-07-01,9.979999542236328
2024-07-02,10.010000228881836
2024-07-03,10.069999694824219
2024-07-05,10.109999656677246
2024-07-08,10.119999885559082
2024-07-09,10.119999885559082
2024-07-10,10.119999885559082
2024-07-11,10.180000305175781
2024-07-12,10.199999809265137
2024-07-15,10.170000076293945
2024-07-16,10.210000038146973
2024-07-17,10.220000267028809
2024-07-18,10.1899995803833
2024-07-19,10.15999984741211
2024-07-22,10.15999984741211
2024-07-23,10.15999984741211
2024-07-24,10.140000343322754
2024-07-25,10.119999885559082
2024-07-26,10.15999984741211
2024-07-29,10.180000305175781
2024-07-30,10.1899995803833
2024-07-31,10.25
2024-08-01,10.289999961853027
2024-08-02,10.40999984741211
2024-08-05,10.399999618530273
2024-08-06,10.329999923706055
2024-08-07,10.3100004196167
2024-08-08,10.289999961853027
2024-08-09,10.319999694824219
2024-08-12,10.34000015258789
2024-08-13,10.380000114440918
2024-08-14,10.399999618530273
2024-08-15,10.359999656677246
2024-08-16,10.380000114440918
2024-08-19,10.390000343322754
2024-08-20,10.420000076293945
2024-08-21,10.4399995803833
2024-08-22,10.399999618530273
2024-08-23,10.449999809265137
2024-08-26,10.40999984741211
2024-08-27,10.40999984741211
2024-08-28,10.399999618530273
2024-08-29,10.390000343322754
2024-08-30,10.359999656677246
2024-09-03,10.40999984741211
2024-09-04,10.460000038146973
2024-09-05,10.479999542236328
2024-09-06,10.5
2024-09-09,10.510000228881836
2024-09-10,10.550000190734863
2024-09-11,10.539999961853027
2024-09-12,10.529999732971191
2024-09-13,10.550000190734863
2024-09-16,10.579999923706055
2024-09-17,10.5600004196167
2024-09-18,10.529999732971191
2024-09-19,10.529999732971191
2024-09-20,10.529999732971191
2024-09-23,10.520000457763672
2024-09-24,10.510000228881836
2024-09-25,10.470000267028809
2024-09-26,10.470000267028809
2024-09-27,10.5
2024-09-30,10.470000267028809
2024-10-01,10.5
2024-10-02,10.479999542236328
2024-10-03,10.4399995803833
2024-10-04,10.369999885559082
2024-10-07,10.34000015258789
2024-10-08,10.350000381469727
2024-10-09,10.319999694824219
2024-10-10,10.319999694824219
2024-10-11,10.319999694824219
2024-10-14,10.319999694824219
2024-10-15,10.359999656677246
2024-10-16,10.369999885559082
2024-10-17,10.329999923706055
2024-10-18,10.329999923706055
2024-10-21,10.270000457763672
2024-10-22,10.260000228881836
2024-10-23,10.239999771118164
2024-10-24,10.260000228881836
2024-10-25,10.210000038146973
2024-10-28,10.1899995803833
2024-10-29,10.199999809265137
2024-10-30,10.1899995803833
2024-10-31,10.1899995803833
2024-11-01,10.140000343322754
2024-11-04,10.1899995803833
2024-11-05,10.210000038146973
2024-11-06,10.130000114440918
2024-11-07,10.199999809265137
2024-11-08,10.229999542236328
2024-11-11,10.210000038146973
2024-11-12,10.149999618530273
2024-11-13,10.149999618530273
2024-11-14,10.140000343322754
2024-11-15,10.140000343322754
2024-11-18,10.15999984741211
2024-11-19,10.170000076293945
2024-11-20,10.15999984741211
2024-11-21,10.15999984741211
