Date,TFC
2022-02-28,62.220001220703125
2022-03-01,58.150001525878906
2022-03-02,60.689998626708984
2022-03-03,60.54999923706055
2022-03-04,58.959999084472656
2022-03-07,56.22999954223633
2022-03-08,56.849998474121094
2022-03-09,58.52000045776367
2022-03-10,57.650001525878906
2022-03-11,57.13999938964844
2022-03-14,57.88999938964844
2022-03-15,58.02000045776367
2022-03-16,59.709999084472656
2022-03-17,58.84000015258789
2022-03-18,58.560001373291016
2022-03-21,58.619998931884766
2022-03-22,59.709999084472656
2022-03-23,58.18000030517578
2022-03-24,58.790000915527344
2022-03-25,60.11000061035156
2022-03-28,59.560001373291016
2022-03-29,60.560001373291016
2022-03-30,58.7400016784668
2022-03-31,56.70000076293945
2022-04-01,55.33000183105469
2022-04-04,55.27000045776367
2022-04-05,55.36000061035156
2022-04-06,54.7400016784668
2022-04-07,53.880001068115234
2022-04-08,53.869998931884766
2022-04-11,53.63999938964844
2022-04-12,52.689998626708984
2022-04-13,52.0
2022-04-14,52.13999938964844
2022-04-18,52.65999984741211
2022-04-19,52.0099983215332
2022-04-20,52.56999969482422
2022-04-21,52.11000061035156
2022-04-22,50.88999938964844
2022-04-25,50.84000015258789
2022-04-26,50.529998779296875
2022-04-27,50.529998779296875
2022-04-28,50.25
2022-04-29,48.349998474121094
2022-05-02,48.939998626708984
2022-05-03,49.61000061035156
2022-05-04,50.7599983215332
2022-05-05,49.45000076293945
2022-05-06,49.060001373291016
2022-05-09,48.56999969482422
2022-05-10,47.459999084472656
2022-05-11,46.849998474121094
2022-05-12,46.470001220703125
2022-05-13,46.310001373291016
2022-05-16,46.119998931884766
2022-05-17,47.88999938964844
2022-05-18,46.36000061035156
2022-05-19,46.119998931884766
2022-05-20,45.68000030517578
2022-05-23,47.27000045776367
2022-05-24,46.810001373291016
2022-05-25,47.619998931884766
2022-05-26,48.40999984741211
2022-05-27,49.130001068115234
2022-05-31,49.7400016784668
2022-06-01,48.91999816894531
2022-06-02,49.75
2022-06-03,49.09000015258789
2022-06-06,49.5
2022-06-07,49.7599983215332
2022-06-08,49.04999923706055
2022-06-09,47.709999084472656
2022-06-10,45.95000076293945
2022-06-13,46.63999938964844
2022-06-14,46.2400016784668
2022-06-15,46.58000183105469
2022-06-16,45.84000015258789
2022-06-17,46.290000915527344
2022-06-21,47.04999923706055
2022-06-22,47.22999954223633
2022-06-23,46.86000061035156
2022-06-24,49.220001220703125
2022-06-27,48.56999969482422
2022-06-28,48.369998931884766
2022-06-29,47.400001525878906
2022-06-30,47.43000030517578
2022-07-01,48.20000076293945
2022-07-05,48.63999938964844
2022-07-06,47.650001525878906
2022-07-07,48.0099983215332
2022-07-08,47.70000076293945
2022-07-11,47.400001525878906
2022-07-12,47.209999084472656
2022-07-13,46.11000061035156
2022-07-14,45.20000076293945
2022-07-15,47.40999984741211
2022-07-18,47.099998474121094
2022-07-19,48.310001373291016
2022-07-20,48.02000045776367
2022-07-21,48.349998474121094
2022-07-22,48.13999938964844
2022-07-25,49.11000061035156
2022-07-26,48.470001220703125
2022-07-27,49.54999923706055
2022-07-28,49.560001373291016
2022-07-29,50.470001220703125
2022-08-01,50.29999923706055
2022-08-02,49.619998931884766
2022-08-03,50.400001525878906
2022-08-04,49.27000045776367
2022-08-05,50.099998474121094
2022-08-08,49.75
2022-08-09,49.790000915527344
2022-08-10,50.900001525878906
2022-08-11,51.02000045776367
2022-08-12,51.75
2022-08-15,51.41999816894531
2022-08-16,52.0099983215332
2022-08-17,51.20000076293945
2022-08-18,51.45000076293945
2022-08-19,50.630001068115234
2022-08-22,49.349998474121094
2022-08-23,49.27000045776367
2022-08-24,49.11000061035156
2022-08-25,49.630001068115234
2022-08-26,48.189998626708984
2022-08-29,47.939998626708984
2022-08-30,47.38999938964844
2022-08-31,46.84000015258789
2022-09-01,46.869998931884766
2022-09-02,46.4900016784668
2022-09-06,46.02000045776367
2022-09-07,47.099998474121094
2022-09-08,48.04999923706055
2022-09-09,48.47999954223633
2022-09-12,49.540000915527344
2022-09-13,47.11000061035156
2022-09-14,47.349998474121094
2022-09-15,48.119998931884766
2022-09-16,47.619998931884766
2022-09-19,47.9900016784668
2022-09-20,47.290000915527344
2022-09-21,46.0
2022-09-22,44.79999923706055
2022-09-23,44.34000015258789
2022-09-26,43.41999816894531
2022-09-27,43.040000915527344
2022-09-28,44.25
2022-09-29,43.970001220703125
2022-09-30,43.540000915527344
2022-10-03,44.709999084472656
2022-10-04,46.560001373291016
2022-10-05,45.86000061035156
2022-10-06,44.880001068115234
2022-10-07,43.529998779296875
2022-10-10,43.310001373291016
2022-10-11,42.43000030517578
2022-10-12,42.06999969482422
2022-10-13,44.08000183105469
2022-10-14,43.0
2022-10-17,44.43000030517578
2022-10-18,43.369998931884766
2022-10-19,42.439998626708984
2022-10-20,40.41999816894531
2022-10-21,41.5099983215332
2022-10-24,42.65999984741211
2022-10-25,43.849998474121094
2022-10-26,44.209999084472656
2022-10-27,44.18000030517578
2022-10-28,45.04999923706055
2022-10-31,44.790000915527344
2022-11-01,44.81999969482422
2022-11-02,43.91999816894531
2022-11-03,42.65999984741211
2022-11-04,43.65999984741211
2022-11-07,43.97999954223633
2022-11-08,44.4900016784668
2022-11-09,42.689998626708984
2022-11-10,46.040000915527344
2022-11-11,47.2599983215332
2022-11-14,46.04999923706055
2022-11-15,46.33000183105469
2022-11-16,45.529998779296875
2022-11-17,45.119998931884766
2022-11-18,45.65999984741211
2022-11-21,46.130001068115234
2022-11-22,46.41999816894531
2022-11-23,46.43000030517578
2022-11-25,46.91999816894531
2022-11-28,45.31999969482422
2022-11-29,45.90999984741211
2022-11-30,46.810001373291016
2022-12-01,46.220001220703125
2022-12-02,45.060001373291016
2022-12-05,42.59000015258789
2022-12-06,41.88999938964844
2022-12-07,41.84000015258789
2022-12-08,42.060001373291016
2022-12-09,42.08000183105469
2022-12-12,43.459999084472656
2022-12-13,43.189998626708984
2022-12-14,42.220001220703125
2022-12-15,41.4900016784668
2022-12-16,41.29999923706055
2022-12-19,41.119998931884766
2022-12-20,41.119998931884766
2022-12-21,41.75
2022-12-22,42.47999954223633
2022-12-23,42.59000015258789
2022-12-27,42.84000015258789
2022-12-28,42.54999923706055
2022-12-29,43.20000076293945
2022-12-30,43.029998779296875
2023-01-03,43.630001068115234
2023-01-04,44.849998474121094
